50 , 8155.0
55 , 5857.5
60 , 6648.0
65 , 8300.5
70 , 5957.0
75 , 7132.5
80 , 5488.0
85 , 6188.0
90 , 7011.0
95 , 5994.5
100 , 8420.0
105 , 5092.5
110 , 4081.0
115 , 4807.0
120 , 6516.0
125 , 4975.0
130 , 3874.0
135 , 7290.0
140 , 4354.0
145 , 5481.0
150 , 7155.0
155 , 5595.5
160 , 4736.0
165 , 4537.5
170 , 5865.0
175 , 5530.0
180 , 5868.0
185 , 7048.5
190 , 5225.0
195 , 4621.5
200 , 7040.0
205 , 5453.0
210 , 5586.0
215 , 5138.5
220 , 6248.0
225 , 5377.5
230 , 5152.0
235 , 6768.0
240 , 6576.0
245 , 5855.5
250 , 6275.0
255 , 6426.0
260 , 6318.0
265 , 6916.5
270 , 6615.0
275 , 6105.0
280 , 7252.0
285 , 5329.5
290 , 5510.0
295 , 5870.5
